CandidateID,Designation,Have you Completed your Graduation ?,Highest Educational Qualification,Total no of years Experience,Previous Industry worked,Name of your Previous Organization / Company,Average Incentive [per month] earned in your pervious company ?,Which Products you are selling in your pervious role ?,What was the average ticket size handled at your end in previous role ?,Department
EMP0603,DST,Full Time,Graduate,0.6,NBFC,HDB FINANCIAL SERVICES ,Above 10K,Personal Loans;Others;,INR 50K - INR 2L,Sales
EMP0694,DST,Full Time,Graduate,1,NBFC,HDB FINANCE SERVICES ,3K-7K,Personal Loans;Current / Saving account [CASA];,Â INR 2L - INR 5L,Affordable Housing
EMP0723,DST,Full Time,Graduate,10.25,Others,,Above 10K,Housing Loan,INR 10L and above,Mass Affluent Housing
EMP0531,DST,Full Time,Graduate,8,Non NBFC,GTPL BROADBAND PVT LTD,Less than 3K,Others;FMCG;,INR 50K - INR 2L,Affordable Housing
EMP0330,DST,Full Time,Post Graduate,1,Banking,HDFC LTD,Nil,Housing Loans;,INR 50K - INR 2L,Affordable Housing
EMP0310,DST,Full Time,Graduate,4,Banking,Hdfc bank ltd ,Above 10K,Car Loans / Used Car Loans;,INR 5L - INR 15L,Sales
EMP0645,DST,Full Time,Post Graduate,5,NBFC,Bajajfinance ,7K-10K,Others;FMCG;,INR 50K - INR 2L,Affordable Housing
EMP0801,DST,,,0,NBFC,,Above 10K,Housing Loan,Â INR 2L - INR 5L,Affordable Housing
EMP0437,DST,Full Time,Graduate,5,NBFC,Bajaj finance limited ,Above 10K,Others;MSME / SME Loans;,INR 50K and below,Affordable Housing
EMP0217,DST,Full Time,Graduate,6,Banking,Yes bank ltd,Above 10K,Housing Loans;,INR 15L and above,Mass Affluent Housing
EMP0080,DST,Part time,Others,8,NBFC,HDB Financial Services ,Above 10K,MSME / SME Loans;,INR 15L and above,Mass Affluent Housing
EMP0838,DST,Full Time,Graduate,5.208333333,NBFC,,Above 10K,Housing Loan,INR 10L and above,Mass Affluent Housing
EMP0398,DST,Full Time,Graduate,1,Insurance,Max life insurance,Nil,Others;,INR 50K - INR 2L,Budget Housing
EMP0599,DST,Full Time,Post Graduate,6,Banking,EQUITAS SMALL FINACE BANK,7K-10K,Car Loans / Used Car Loans;Current / Saving account [CASA];,Â INR 2L - INR 5L,Sales
EMP0347,DST,Full Time,Post Graduate,1,Banking,HDFC BANK,3K-7K,Current / Savings account [CASA];Personal Loans;Housing Loans;,Fresher,Affordable Housing
EMP0282,DST,Full Time,Graduate,6,NBFC,Five star finance limited ,Above 10K,MSME / SME Loans;,INR 15L and above,Affordable Housing
EMP0600,DST,Full Time,Post Graduate,4,Banking,HDFC ,Above 10K,Housing Loans;Personal Loans;,Â INR 2L - INR 5L,Mass Affluent Housing
EMP0679,DST,Full Time,Graduate,4.5,Banking,HDB FINANCIAL SERVIES PVT LTD,Above 10K,Others;Current / Saving account [CASA];,Fresher,Secured Business Loan
EMP0571,DST,Full Time,Graduate,2.5,Others,Andrameda Large loan distribution pvt ltd. ,7K-10K,Personal Loans;Others;,Â INR 2L - INR 5L,Affordable Housing
EMP0355,DST,Full Time,Post Graduate,2,Non NBFC,Innovazione Medical Alliance ,3K-7K,Others;FMCG;,INR 50K - INR 2L,Sales
EMP0360,DST,Full Time,Post Graduate,7,Banking,HDFC BANK ,Above 10K,Current / Savings account [CASA];,INR 5L - INR 15L,Mass Affluent Housing
EMP0550,DST,Full Time,Graduate,4,NBFC,Aadhar housing finance ltd ,3K-7K,Housing Loans;MSME / SME Loans;,INR 50K - INR 2L,Affordable Housing
EMP0893,DST,Full Time,Graduate,13.33333333,NBFC,,7K-10K,Used Car Loan,INR 5L - INR 10L,Sales
EMP0576,DST,Full Time,Graduate,3,Non NBFC,Bharat Finance Inclusion Limited ,Above 10K,Housing Loans;Others;,Fresher,Affordable Housing
EMP0641,DST,Full Time,Graduate,7,Others,Nexa ,Above 10K,Car Loans / Used Car Loans;Others;,Â INR 2L - INR 5L,Affordable Housing
EMP0438,DST,Full Time,Post Graduate,4,Others,Reliance Retail,7K-10K,Housing Loans;FMCG;,Â INR 2L - INR 5L,Budget Housing
EMP0400,DST,Full Time,Post Graduate,1.2,NBFC,Annapurna Finance,3K-7K,Others;,INR 50K and below,Mass Affluent Housing
EMP0105,DST,Full Time,Graduate,10,NBFC,IIFL,7K-10K,Housing Loans;,INR 5L - INR 15L,Affordable Housing
EMP0758,DST,Full Time,Graduate,0.75,Banking,,Nil,Unsecure Business Loan,INR 5L - INR 10L,Sales
EMP0194,DST,Full Time,Under Graduate,4,Banking,KOTAK MAHINDRA PRIME LTD,3K-7K,Car Loans / Used Car Loans;,INR 5L - INR 15L,Sales
EMP0288,DST,Full Time,Post Graduate,2,others,SPR CONSTRUCTIONS,7K-10K,Others;,INR 5L - INR 15L,Affordable Housing
EMP0819,DST,,,,NBFC,,7K-10K,Used Car Loan,INR 10L and above,Sales
EMP0367,DST,Full Time,Graduate,7,NBFC,Piramal sele & sarvice ,Nil,Housing Loans;,Â INR 2L - INR 5L,Affordable Housing
EMP0523,DST,Full Time,Graduate,7,Banking,Bandhan bank,Less than 3K,MSME / SME Loans;Others;,Â INR 2L - INR 5L,Affordable Housing
EMP0529,DST,Full Time,Post Graduate,0,Others,Fresher ,Nil,Others;FMCG;,Fresher,Secured Business Loan
EMP0056,DST,Full Time,Graduate,3,Banking,HDFC,Above 10K,Others;,INR 15L and above,Mass Affluent Housing
EMP0468,DST,Full Time,Under Graduate,0,Others,0,Nil,Others;Personal Loans;,Fresher,Sales
EMP0442,DST,Full Time,Graduate,2,NBFC,shubham housing finance ,Above 10K,MSME / SME Loans;Housing Loans;,INR 5L - INR 15L,Secured Business Loan
EMP0283,DST,Full Time,Post Graduate,3,Banking,Axis bank limited ,Above 10K,Car Loans / Used Car Loans;Current / Savings account [CASA];Personal Loans;,INR 15L and above,Affordable Housing
EMP0526,DST,Full Time,Graduate,6,NBFC,Lucknow Disel & Electrical ,Above 10K,Housing Loans;Car Loans / Used Car Loans;,INR 5L - INR 15L,Mass Affluent Housing
EMP0119,DST,Full Time,Graduate,2,Non NBFC,HDB FINANCE SERVICE LTD ,Above 10K,Others;Current / Savings account [CASA];,Fresher,Affordable Housing
EMP0131,DST,Full Time,Post Graduate,2,Banking,Indusind bank ,Less than 3K,Car Loans / Used Car Loans;Personal Loans;,INR 50K - INR 2L,Mass Affluent Housing
EMP0329,DST,Full Time,Graduate,2,NBFC,Manappuram finance Limited,3K-7K,Others;,INR 50K and below,Sales
EMP0691,DST,Full Time,Graduate,4,NBFC,vistaar finance pvt.ltd,7K-10K,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,Mass Affluent Housing
EMP0874,DST,Full Time,Graduate,0,NBFC,,Above 10K,Housing Loan,Â INR 2L - INR 5L,Mass Affluent Housing
EMP0337,DST,Full Time,Graduate,3,Banking,Mahindra rural housing Finance limited,7K-10K,Housing Loans;,Â INR 2L - INR 5L,Affordable Housing
EMP0314,DST,Full Time,Post Graduate,3,NBFC,Vistaar finance private limited ,3K-7K,MSME / SME Loans;,INR 15L and above,Secured Business Loan
EMP0162,DST,Full Time,Post Graduate,1,NBFC,Piramal capital and housing finance Ltd ,3K-7K,Housing Loans;,INR 15L and above,Affordable Housing
EMP0441,DST,Full Time,Graduate,14,NBFC,DHFL ,Above 10K,Others;Housing Loans;,INR 15L and above,Affordable Housing
EMP0919,DST,,,0,NBFC,,Above 10K,Housing Loan,INR 50K and below,Mass Affluent Housing
EMP0769,DST,Full Time,Graduate,0,NBFC,,Above 10K,Housing Loan,INR 10L and above,Mass Affluent Housing
EMP0902,DST,,,,NBFC,,7K-10K,Housing Loan,INR 50K - INR 2L,Mass Affluent Housing
EMP0713,DST,,,2.416666667,Banking,,7K-10K,Unsecure Business Loan,Â INR 2L - INR 5L,Business Loans
EMP0043,DST,Full Time,Under Graduate,7,NBFC,MAHAVEER FINANCIAL SERVICE LIMITED ,3K-7K,Personal Loans;Car Loans / Used Car Loans;MSME / SME Loans;Housing Loans;,INR 50K and below,Affordable Housing
EMP0495,DST,Full Time,Graduate,3,Banking,Conneqt business solution limited,3K-7K,Others;Current / Saving account [CASA];,INR 50K and below,Affordable Housing
EMP0786,DST,Full Time,Graduate,3.383333333,NBFC,,Nil,Housing Loan,Fresher,Mass Affluent Housing
EMP0068,DST,Full Time,Graduate,0,others,Nil,Nil,Others;,Fresher,Affordable Housing
EMP0022,DST,Full Time,Graduate,4,NBFC,Jana small finance bank ltd,3K-7K,Others;,INR 50K and below,Secured Business Loan
EMP0660,DST,Full Time,Graduate,1,Others,Bajaj finserv,3K-7K,Others;Housing Loans;,INR 50K - INR 2L,Affordable Housing
EMP0926,DST,Full Time,Graduate,4,NBFC,,Above 10K,Housing Loan,INR 10L and above,Affordable Housing
EMP0245,DST,Full Time,Graduate,4,Banking,HDFC,3K-7K,Current / Savings account [CASA];,INR 5L - INR 15L,Affordable Housing
EMP0188,DST,Full Time,Graduate,10,Non NBFC,SUNDARAM FINANCE,3K-7K,Car Loans / Used Car Loans;Housing Loans;Others;,INR 5L - INR 15L,Affordable Housing
EMP0557,DST,Full Time,Post Graduate,8,NBFC,JANA SMALL FINANCE BANK,3K-7K,Others;Housing Loans;,INR 50K - INR 2L,Affordable Housing
EMP0040,DST,Full Time,Graduate,5,NBFC,Indiabulls finance,Above 10K,MSME / SME Loans;,INR 5L - INR 15L,Secured Business Loan
EMP0024,DST,Full Time,Graduate,3,NBFC,"HDB finance, muthoot microfinance ",3K-7K,Current / Savings account [CASA];Others;,INR 50K and below,Affordable Housing
EMP0415,DST,Full Time,Graduate,3,NBFC,IDFC FIRST BHARATH,Above 10K,Others;,INR 50K - INR 2L,Affordable Housing
EMP0802,DST,Full Time,Post Graduate,0,NBFC,,3K-7K,Used Car Loan,Â INR 2L - INR 5L,Sales
EMP0631,DST,Full Time,Graduate,9,NBFC,Indusind marketing and financial services pvt ltd,Less than 3K,Others;Personal Loans;,INR 50K - INR 2L,Affordable Housing
EMP0595,DST,Full Time,Graduate,14,NBFC,L&T Housing Finance,7K-10K,Housing Loans;MSME / SME Loans;,INR 15L and above,Affordable Housing
EMP0869,DST,Full Time,Graduate,3.583333333,Banking,,Above 10K,Housing Loan,Â INR 2L - INR 5L,Affordable Housing
EMP0083,DST,Full Time,Under Graduate,8,Insurance,1.8,Above 10K,Housing Loans;,Â INR 2L - INR 5L,Affordable Housing
EMP0619,DST,Part Time,Graduate,13,Others,ROYAL FINANCIAL ASSOCIATES ,3K-7K,Housing Loans;Personal Loans;,INR 15L and above,Affordable Housing
EMP0693,DST,Full Time,Post Graduate,5,Banking,Hdfc Bank ,Above 10K,Personal Loans;Others;,INR 15L and above,Affordable Housing
EMP0432,DST,Full Time,Graduate,7,others,BAJAJ FINSERV,Above 10K,Car Loans / Used Car Loans;,INR 50K - INR 2L,Sales
EMP0849,DST,Full Time,Graduate,3.75,Others,,Above 10K,Used Car Loan,INR 50K and below,Sales
EMP0019,DST,Full Time,Post Graduate,5,Banking,AXIS BANK,3K-7K,Car Loans / Used Car Loans;Housing Loans;,INR 5L - INR 15L,Sales
EMP0038,DST,Full Time,Graduate,7,others,Abhivrudhi chit fund pvt Ltd,3K-7K,Others;,INR 5L - INR 15L,Affordable Housing
EMP0345,DST,Full Time,Post Graduate,2,NBFC,Fullerton India Credit Company Ltd ,7K-10K,Housing Loans;MSME / SME Loans;Personal Loans;,INR 50K - INR 2L,Sales
EMP0640,DST,Full Time,Post Graduate,10,Others,Bajaj finance ,Above 10K,Others;Housing Loans;,INR 50K - INR 2L,Affordable Housing
EMP0455,DST,Full Time,Under Graduate,4,Banking,axis bank pvt ltd,7K-10K,Current / Saving account [CASA];Housing Loans;,INR 50K - INR 2L,Sales
EMP0793,DST,Full Time,Graduate,0,Others,,3K-7K,Housing Loan,INR 10L and above,Mass Affluent Housing
EMP0403,DST,Full Time,Graduate,3,Banking,HDFC BANK,3K-7K,Housing Loans;Others;,INR 50K - INR 2L,Mass Affluent Housing
EMP0220,DST,Full Time,Graduate,12,NBFC,TATA CAPITAL FINANCIAL SERVICES LTD,7K-10K,Car Loans / Used Car Loans;,INR 50K - INR 2L,Sales
EMP0120,DST,Full Time,Graduate,1,others,Avas,Nil,MSME / SME Loans;,Fresher,Secured Business Loan
EMP0197,DST,Full Time,Under Graduate,2,Banking,I process ,7K-10K,Car Loans / Used Car Loans;,INR 5L - INR 15L,Sales
EMP0331,DST,Full Time,Post Graduate,1,Banking,HDFC BANK LTD,Above 10K,Current / Savings account [CASA];,INR 5L - INR 15L,Mass Affluent Housing
EMP0696,DST,Full Time,Graduate,7,NBFC,Tvs credit financial services,7K-10K,Car Loans / Used Car Loans;Others;,INR 50K and below,Mass Affluent Housing
EMP0023,DST,Full Time,Graduate,4,NBFC,IIFL,Nil,Others;,Fresher,Secured Business Loan
EMP0087,DST,Full Time,Graduate,4,NBFC,Kola annareddy engineering,3K-7K,Others;,INR 50K - INR 2L,Business Loans
EMP0160,DST,Full Time,Graduate,6,others,Vamsee shipping carrier pvt ltd,7K-10K,Others;,Fresher,Affordable Housing
EMP0274,DST,Full Time,Graduate,8,Banking,Equitas small finance bank,7K-10K,Housing Loans;,Â INR 2L - INR 5L,Affordable Housing
EMP0012,DST,Full Time,Graduate,4,NBFC,Kogta Financial India Ltd ,3K-7K,Others;,INR 15L and above,Affordable Housing
EMP0672,DST,Full Time,Post Graduate,3,Banking,Indusind Marketing Financial services Pvt Ltd ,3K-7K,Personal Loans;Others;,INR 15L and above,Sales
EMP0481,DST,Full Time,Graduate,2.5,Banking,Indusind bank Ltd,Above 10K,Others;Current / Saving account [CASA];,INR 50K and below,Affordable Housing
EMP0841,DST,,,,NBFC,,7K-10K,Housing Loan,INR 50K and below,Mass Affluent Housing
EMP0147,DST,Full Time,Graduate,1,Banking,Hdfc bank ,7K-10K,Housing Loans;,INR 15L and above,Affordable Housing
EMP0639,DST,Full Time,Post Graduate,6,Banking,IDFC ,3K-7K,Personal Loans;Others;,Â INR 2L - INR 5L,Affordable Housing
EMP0168,DST,Full Time,Graduate,3,NBFC,Bajaj finserve,Above 10K,Others;,INR 50K and below,Mass Affluent Housing
EMP0618,DST,Full Time,Post Graduate,2,Banking,Axis Bank,3K-7K,Current / Saving account [CASA];Others;,INR 50K - INR 2L,Mass Affluent Housing
EMP0322,DST,Full Time,Graduate,13,Banking,Axis Bank ltd,Above 10K,Personal Loans;,INR 50K - INR 2L,Sales
EMP0910,DST,,,,NBFC,,Above 10K,Housing Loan,INR 10L and above,Secured Business Loan
EMP0878,DST,,,,NBFC,,Above 10K,Housing Loan,INR 10L and above,Affordable Housing
EMP0241,DST,Full Time,Graduate,3,NBFC,IIFL SAMASTHA,3K-7K,MSME / SME Loans;,INR 5L - INR 15L,Affordable Housing
EMP0609,DST,Full Time,Post Graduate,2,Banking,IDFC FIRST BANK,3K-7K,MSME / SME Loans;Personal Loans;,INR 5L - INR 15L,Business Loans
EMP0370,DST,Full Time,Post Graduate,2,Banking,Ques crop axis Bank limited ,Above 10K,Others;,INR 15L and above,Affordable Housing
EMP0326,DST,Full Time,Graduate,40,NBFC,Ziploan ,7K-10K,Personal Loans;,INR 5L - INR 15L,Sales
EMP0476,DST,Full Time,Post Graduate,3,NBFC,Radhakrishna finance,7K-10K,Others;Personal Loans;,INR 50K - INR 2L,Mass Affluent Housing
EMP0736,DST,,,,Others,,7K-10K,,INR 10L and above,Mass Affluent Housing
EMP0417,DST,Full Time,Graduate,6,Banking,Indusind bank ,7K-10K,Others;,INR 50K - INR 2L,Sales
EMP0855,DST,,,,NBFC,,7K-10K,Unsecure Business Loan,INR 10L and above,Business Loans
EMP0901,DST,Full Time,Graduate,7.291666667,NBFC,,Above 10K,Loan Against Property/ Secured Business Loan,INR 10L and above,Secured Business Loan
EMP0848,DST,Full Time,Graduate,3.3,NBFC,,Above 10K,,INR 10L and above,Affordable Housing
EMP0349,DST,Full Time,Under Graduate,2,Banking,DBS BANK INDIA PVT LTD,Less than 3K,Current / Savings account [CASA];,Â INR 2L - INR 5L,Budget Housing
EMP0505,DST,Full Time,Post Graduate,2,Banking,IDBI BANK LTD,Less than 3K,Current / Saving account [CASA];Housing Loans;,Â INR 2L - INR 5L,Affordable Housing
EMP0299,DST,Full Time,Graduate,3,Banking,ICICI BANK LTD (Manipal Business Solutions Pvt Ltd),3K-7K,Others;,Â INR 2L - INR 5L,Sales
EMP0472,DST,Full Time,Post Graduate,2,Banking,hdfc bank,Nil,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,Mass Affluent Housing
EMP0899,DST,Full Time,Graduate,8.125,Others,,Above 10K,Housing Loan,INR 10L and above,Mass Affluent Housing
EMP0714,DST,Full Time,Post Graduate,11.83333333,NBFC,,Above 10K,Housing Loan,INR 10L and above,Mass Affluent Housing
EMP0483,DST,Full Time,Graduate,4,Banking,HDFC bank Ltd.,Above 10K,Housing Loans;Others;,INR 50K and below,Affordable Housing
EMP0122,DST,Full Time,Post Graduate,1,Banking,Axis Bank,Above 10K,Current / Savings account [CASA];,INR 15L and above,Secured Business Loan
EMP0515,DST,Full Time,Graduate,5,NBFC,SBFC ,Nil,Personal Loans;Others;,Â INR 2L - INR 5L,Secured Business Loan
EMP0418,DST,Full Time,Post Graduate,2.8,NBFC,Manappuram Finance Limited ,3K-7K,Housing Loans;,INR 50K and below,Affordable Housing
EMP0236,DST,Full Time,Post Graduate,3,Banking,HDFC Bank Ltd ,7K-10K,Personal Loans;,INR 15L and above,Sales
EMP0284,DST,Full Time,Graduate,5,NBFC,TATA motors finance Ltd ,7K-10K,Car Loans / Used Car Loans;,INR 5L - INR 15L,Affordable Housing
EMP0541,DST,Full Time,Post Graduate,3,Banking,Idfc first bank ltd  and yes bank ltd,3K-7K,MSME / SME Loans;Housing Loans;,INR 15L and above,Secured Business Loan
EMP0493,DST,Full Time,Graduate,7,NBFC,Cholamandlam investment and finance company limited,3K-7K,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,Mass Affluent Housing
EMP0104,DST,Full Time,Post Graduate,9,others,Friends steel,Above 10K,MSME / SME Loans;,Fresher,Secured Business Loan
EMP0588,DST,Full Time,Post Graduate,5,NBFC,Satya micro capital ltd ,3K-7K,MSME / SME Loans;Personal Loans;,INR 50K - INR 2L,Affordable Housing
EMP0431,DST,Full Time,Post Graduate,2,Banking,HDB FINANCIAL SERVICES UNDR HDFC BANK,Above 10K,Others;,INR 5L - INR 15L,Sales
EMP0907,DST,,,,NBFC,,7K-10K,Loan Against Property/ Secured Business Loan,INR 5L - INR 10L,Secured Business Loan
EMP0469,DST,Full Time,Graduate,6,NBFC,DHFL,Above 10K,Housing Loans;MSME / SME Loans;,INR 15L and above,Mass Affluent Housing
EMP0015,DST,Full Time,Graduate,1,others,WEBLOG REALGROWTH NIDHI LIMITED ,Less than 3K,Housing Loans;,INR 5L - INR 15L,Affordable Housing
EMP0876,DST,,,0,NBFC,,7K-10K,Unsecure Business Loan,INR 5L - INR 10L,Business Loans
EMP0401,DST,Full Time,Graduate,2,Banking,Kotak Mahindra Bank Ltd ,3K-7K,Personal Loans;,INR 15L and above,Sales
EMP0408,DST,Full Time,Graduate,5,NBFC,Tata Capital ,3K-7K,Car Loans / Used Car Loans;FMCG;,INR 50K - INR 2L,Affordable Housing
EMP0248,DST,Full Time,Post Graduate,7,NBFC,Aptus value housing finance ,Above 10K,Housing Loans;MSME / SME Loans;,INR 15L and above,Affordable Housing
EMP0148,DST,Full Time,Post Graduate,3,others,OLX AUTOS,7K-10K,Car Loans / Used Car Loans;,INR 15L and above,Sales
EMP0422,DST,Full Time,Graduate,10,NBFC,AVIOM INDIA HOUSING FINANCE PVT LTD,Above 10K,MSME / SME Loans;Housing Loans;Personal Loans;Car Loans / Used Car Loans;,INR 5L - INR 15L,Secured Business Loan
